"No.","Time","Source","Destination","Protocol","Length","Info"
"63","0.020473","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"64","0.020761","192.168.1.15","51.75.61.78","TCP","54","63220  >  443 [ACK] Seq=1 Ack=82765 Win=9347 Len=0"
"65","0.030233","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"66","0.030233","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"67","0.030233","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"68","0.030233","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"69","0.030233","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"70","0.030233","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"71","0.030233","51.75.61.78","192.168.1.15","SSLv2","1506","Encrypted Data"
"72","0.030233","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"73","0.030233","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"74","0.030657","192.168.1.15","51.75.61.78","TCP","54","63220  >  443 [ACK] Seq=1 Ack=95833 Win=9347 Len=0"
"75","0.032200","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"76","0.032200","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"77","0.032200","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"78","0.032200","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"79","0.032200","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"80","0.032200","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"81","0.032200","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
